genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Armageddon Project,Beat Conductor,11,USZUT0900012,https://www.youtube.com/watch?v=-BAkOyU-mpU,69475
hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,Blasco,Turn It Up,36,BEB682100191,https://www.youtube.com/watch?v=oB1ZnOwLWJA,19544
hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,TCM,He's a Pirate,36,QZMEP2035201,https://www.youtube.com/watch?v=rjCBaPEgwqE,30058
brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,Figure,The Fog,38,USQY51772094,https://www.youtube.com/watch?v=HBR6oJr8vRQ,44642
kuduro,spotify:playlist:1BRJmIuTmwJPrwQdusX91F,"Freddy da Stupid,Saint Evo,Tina Ardor",Mwene Nyaga,8,QMEU32011137,https://www.youtube.com/watch?v=0MOq-z-O61A,8037
brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,"Rickyxsan,Oski",Back,38,GB7YL1882801,https://www.youtube.com/watch?v=v80pH8aln1k,47131
nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,The Chariot,David De La Hoz,33,USA2U1000103,https://www.youtube.com/watch?v=mwwW7cVCJ0A,82499
soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Bobby D'Ambrosio,Michelle Weeks,Alaia & Gallo",The Day - Alaia & Gallo Remix,29,USZ9A1850801,https://www.youtube.com/watch?v=l3DOPm8MqrY,121196
brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,MUST DIE!,SORROW TECH,35,GB7YL2100030,https://www.youtube.com/watch?v=3YJmiwBBaLU,30107
brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,"Megalodon,Leo Black",Buss It,25,GB7YL1895001,https://www.youtube.com/watch?v=jDuBBlTCbMs,11263
hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,Aria,Waiting For Fire,33,BEB682100203,https://www.youtube.com/watch?v=Qj2z8BCvEZ8,26596
brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,"Rell the Soundbender,Los Rakas,Far East Movement",Criminal,18,USUG11600408,https://www.youtube.com/watch?v=KHIdsV_J-GI,18486
fidget house,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,Jack Beats,Catch The Spirit,34,CA5KR1957778,https://www.youtube.com/watch?v=UUGt2D12haE,6213
