,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
11049,kuduro,spotify:playlist:1BRJmIuTmwJPrwQdusX91F,B Show,Caba Cau,9,DEH742001939,https://www.youtube.com/watch?v=z6B7lGGgvYw,10450
4906,doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Enzyme X,Rauwkost,11,NLHY50900248,https://www.youtube.com/watch?v=h5PMLMgj_gA,38805
4907,doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Armageddon Project,Beat Conductor,11,USZUT0900012,https://www.youtube.com/watch?v=-BAkOyU-mpU,69475
9005,hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,"Galactixx,Aztech,MC Dash",Time To Shine,35,NLE801800376,https://www.youtube.com/watch?v=1rGQvFcMtKM,54522
13101,nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Slime Girls,Bonfires,35,USJ3V1377046,https://www.youtube.com/watch?v=EqPgJBvZN6E,24496
2864,brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,"Rickyxsan,Oski",Back,38,GB7YL1882801,https://www.youtube.com/watch?v=v80pH8aln1k,47131
15155,soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Bobby D'Ambrosio,Michelle Weeks,Alaia & Gallo",The Day - Alaia & Gallo Remix,29,USZ9A1850801,https://www.youtube.com/watch?v=l3DOPm8MqrY,121196
2870,brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,12th Planet,Shipwreck'd,32,CA5KR2019883,https://www.youtube.com/watch?v=RP7qwwhhBB8,41858
2871,brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,"Bear Grillz,SIPPY",Blast Like,31,USDM32029904,https://www.youtube.com/watch?v=vI4jPNpWX5Y,17065
9016,hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,"Level One,Niene Manon,MC Prime",The Change,33,NLS762100163,https://www.youtube.com/watch?v=5z7A3fsMefs,14602
2873,brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,"Megalodon,Leo Black",Buss It,25,GB7YL1895001,https://www.youtube.com/watch?v=jDuBBlTCbMs,11263
